Playlist Name,Country,Followers,Last Updated,Link,Mood,Platform
Latin Now,LATAM,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_lOAAW-PX5XUed76iQefCxkOXd6m6ZvyiM,"Mainstream, Trending",YouTube Music
Pura Lumbre,Mexico,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_mBG8rnC5wMKo61Jn5c18C6_NoYsuQ2HRI,"Musica Mexicana, Trending",YouTube Music
Latin Pop Before It Breaks,LATAM,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_lXoTYt3x31LVKo68NbfKdOK1EM98qBDbI,"Pop, Releases",YouTube Music
Nuevas Vibras,LATAM,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_l-JbTcCK10aQ5AFrXLmiNt9sVCbnCDVC0,"Pop, Releases",YouTube Music
New Latin Urban,LATAM,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_nYv621iHUkzRYzkFw8cjTq40OVIRuwNSQ,"Urbano, Releases",YouTube Music
Arre!,Mexico,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_mCV9KdRe20c2a1AMEXGrj_eHAcePRGiOM,"Regional Mexican, Releases",YouTube Music
Se Habla Pop,LATAM,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_nWFLXjO1mIJnP4wAmxjfDS40Zmu6nF9DU,"Pop, Mainstream",YouTube Music
Diretoria Brazil Hits,Brazil,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_kvnwY7lh8VQkr7uLLsFPB06mhIwKAljbE,"Mainstream, Trending",YouTube Music
El Aparato: Latin Rock,LATAM,,Every other week,https://music.youtube.com/playlist?list=RDCLAK5uy_mTVAjR_kMKJpTDFh_0BqLlhEQT19fi2qg,"Rock, Releases",YouTube Music
Smooth Brazilian Pop,Brazil,,Every other week,https://music.youtube.com/playlist?list=RDCLAK5uy_lLpCPAfWWOWD9bhvrwzXYhzAzW0iUqMX0,"Pop, Indie",YouTube Music
Nectar,LATAM,,Every other week,https://music.youtube.com/playlist?list=RDCLAK5uy_nmyiTFaD-osoI95yEMuRjaSMQiTDRJz6E,"Electronic, Indie",YouTube Music
Hot Reggaeton,LATAM,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_kV0Nh-OIcnh8LppyiFE4lhhWZEvaPQEOY,"Reggaeton, Trending",YouTube Music
Nuevo Tropical,LATAM,,Each week,https://music.youtube.com/playlist?list=RDCLAK5uy_m8mWSFy7ODRrQU4o6FEBL51LLXV3j6AdA,"Tropical, Releases",YouTube Music
Pop Mexico,Mexico,,Every other week,https://music.youtube.com/playlist?list=RDCLAK5uy_nju9y-Oj-liCyxlM1svBmfgItJElbrDzg,Pop,YouTube Music
Fiesta Latina,LATAM,,Every other week,https://music.youtube.com/playlist?list=RDCLAK5uy_npkgrjOge0uceDgFNjxp5ymEDMdUUHQ_4,"Party, Mainstream",YouTube Music
Circuito Indie,LATAM,,Irregular,https://www.claromusica.com/systemPlaylist/62857975/,Indie,Claro Música
El Indie no es un genero,LATAM,687000,Each week,https://open.spotify.com/playlist/37i9dQZF1DWZ0Zsena4JFh?si=9a97e28ffec94489,Indie,Spotify
Rock para reflexionar,LATAM,,Each week,https://music.apple.com/pa/playlist/rock-para-reflexionar/pl.c463e22d78b44011935bb22c39d2c66f,,Apple Music
Casa da inovação,Brazil,,Each week,https://music.apple.com/br/playlist/casa-da-inova%C3%A7%C3%A3o/pl.cf1d208367fb495eaab631c691ddd3a0,Indie,Apple Music
NME's Best New Tracks,LATAM,,Each week,https://music.apple.com/mx/playlist/nmes-best-new-tracks/pl.83b9fc34352d4995a0888f77654c619b,Releases,Apple Music
Breaking Alternativa,LATAM,,Each week,https://music.apple.com/mx/playlist/breaking-alternativa/pl.cbb3df8d3dec44a09fd44a9c18583ef9,Alternative,Apple Music
Indie rock actual,LATAM,,Each week,https://music.apple.com/mx/playlist/indie-rock-actual/pl.2a86e272cf2349a99de68fd9cf7d4776,Indie,Apple Music
Puro indie,LATAM,,Each week,https://music.apple.com/mx/playlist/puro-indie/pl.0e91490f3310408eb1186fc9befb3d11,Indie,Apple Music
Indie: lo último,LATAM,,Each week,https://music.apple.com/mx/playlist/indie-lo-%C3%BAltimo/pl.dbc3a7bd6b4843cb830af1b7cbbadbd6,Indie,Apple Music
Pop alternativo: pasado y presente,LATAM,,Each week,https://music.apple.com/MX/playlist/-/pl.cf1d208367fb495eaab631c691ddd3a0,"Pop, Alternative",Apple Music
El antídoto,LATAM,,Each week,https://music.apple.com/mx/playlist/el-ant%C3%ADdoto/pl.2e5ee4612fd246529e9e34d23549dc98,Alternative,Apple Music
Electrónica Hoy,LATAM,,Irregular,https://music.amazon.com.mx/playlists/B07KLQPWLY,Electronic,Amazon Music
Néctar Latino,LATAM,,Irregular,https://music.amazon.com.mx/playlists/B0882Z1JLS,Electronic,Amazon Music
Breaking Rock,LATAM,,Each week,https://music.apple.com/mx/playlist/breaking-rock/pl.03c1eea28c2b4f4c97b5d9b660e9f42e,Rock,Apple Music
El nuevo rock,LATAM,,Each week,https://music.apple.com/mx/playlist/el-nuevo-rock/pl.28926c578a80475c904026ea97646ad5,Rock,Apple Music
Rock de hoy,LATAM,,Each week,https://music.apple.com/mx/playlist/rock-de-hoy/pl.96b6f91cf4634ebdb022f98b6f91cb9b,Rock,Apple Music
Lo nuevo: punk,LATAM,,Each week,https://music.apple.com/MX/playlist/-/pl.931183c2263c4bf69acc6a1fc9a6d301,"Rock, Punk",Apple Music
Underground emergente,LATAM,,Each week,https://music.apple.com/mx/playlist/underground-emergente/pl.8f1793a19599455fa2f21f83dc8a9769,"Rock, Punk",Apple Music
Breaking Hard rock,LATAM,,Each week,https://music.apple.com/MX/playlist/-/pl.a6940bcf731542ecb42635601bb42635,"Rock, Metal, Punk",Apple Music
El renacimiento del soul,LATAM,,Each week,https://music.apple.com/co/playlist/el-renacimiento-del-soul/pl.31f6509f89434422992a91473940347e,"R&B, Soul, Jazz",Apple Music
Elegancia R&B,LATAM,,Each week,https://music.apple.com/co/playlist/elegancia-r-b/pl.0c823d189f014556a8f2ecfd8a403e8d,"R&B, Soul, Jazz",Apple Music
Alternativa francesa,LATAM,,Each week,https://music.apple.com/mx/playlist/alternativa-francesa/pl.73c911decfe1483781613d531ee36d6c,Alternative,Apple Music
Lo nuevo: pop francés,LATAM,,Each week,https://music.apple.com/mx/playlist/lo-nuevo-pop-franc%C3%A9s/pl.aa9a6183004b4b20ada3177b509e0e10,Pop,Apple Music
Indie Electronico,LATAM,,Each week,https://music.apple.com/pa/playlist/indie-electr%C3%B3nico/pl.41fced032b8c4a909de7c696566ed485,,Apple Music
Cuerdas para el alma,LATAM,,Each week,https://music.apple.com/mx/playlist/cuerdas-para-el-alma/pl.704549d78564491a98f9aaeb14f9e4c7,,Apple Music
Muy Indie,LATAM,,Each week,https://music.apple.com/mx/playlist/muy-indie/pl.2b426ec1994e4120910214dab840c927,,Apple Music
The Riff,LATAM,,Each week,https://music.apple.com/mx/playlist/the-riff/pl.58c2477d86ea46db997048afd159d01d,,Apple Music
