NAME OF MEDIA,DESCRIPTION & SM,Genre,REACH,Territory,WEBSITE,⛅️,🍎,🎙,🎶,🐥,👍,💃,📸,📹,🤓
MUSIC NON STOP,"Urban music news by Brazilian DJ, journalist and music writer Social Media: 28k ",,,BRAZIL,,,,,,,,,,,
"BILLBOARD ","National edition of the international magazine, Billboard. Social media: 600K  Circulation: 40K copies.",,,BRAZIL,,,,,,,,,,,
IG Gente,A newspaper and internet service provider and subsidiary in Sao Paulo Brazil. It is the fifth largest portal in Brazil with 23.5 million unique monthly visitors. IG gente focuses on celebrities and entertainment. Social Media: 140K,,,BRAZIL,,,,,,,,,,,
"Infected by Culture ",Brazilian news site about alternative music and films. Social Media: 480,,,BRAZIL,,,,,,,,,,,
Rimas e Batidas,"A daily digital publication in Brazil dedicated to Hip Hop and other musical genres. They publish reviews, critiques, interviews, releases, and other music related content. Social Media: 273K",,,BRAZIL,,,,,,,,,,,
Transamerica,"A big radio station in Brazil for pop, rock and electronic music. Social Media: 454K.",,,BRAZIL,,,,,,,,,,,
"Balaclava ","Balaclava Magazine is a media outlet from Balaclava Records, one of the biggest independent music labels from Brazil. And concert producer as well. Social Media: 60K",,,BRAZIL,,,,,,,,,,,
"Só pedrada musical ","Blog by Brazilian DJ and curator focused on black music Social Media: 25k ",,,BRAZIL,,,,,,,,,,,
Folha de São Paulo,Notable newspaper in Brazil Viewership/Listeners: 335.9K Issues - 17M visitors/month | 173M pageviews/month Social Media: 10.4M.,,,BRAZIL,,,,,,,,,,,
"Rolling Stone Magazine ","National edition of the world renowned music, cinema and politics magazine. Physical circulation: 75,000 and Views: 3M readers/month. 700K Page Views/Month. Social Media : 1.4 M","Alternative, Hip-Hop, Indie, Rock",,BRAZIL,,,,,,,,,,,
"A Tribuna ","Newspaper focused on the region of Baixada Santista and Vale do Ribeira. Social Media: 908K ",,,BRAZIL,,,,,,,,,,,
VICE BRASIL,National edition of Canadian digital media and broadcasting company. Social Media: 682K,,,BRAZIL,,,,,,,,,,,
Minuto Indie,"Online indie music publication focused on articles such as interviews, music news, concerts, new releases, and more. Social Media: 33K. ",,,BRAZIL,,,,,,,,,,,
"Play Tv ","Play Tv is a Brazilian television station. Its programming is focused on information about music and movies. Social Media: Over 100K ",,,BRAZIL,,,,,,,,,,,
"NOIZE ","Noize is a Magazine and website. It is the biggest independent magazine in the country, largely associated with rock, alternative, and indie music. The Magazine is published every month and is distributed for free. Circulation: 15K  Social Media: 130K ",,,BRAZIL,,,,,,,,,,,
Portal Rockline,"Rock music publication with a focus on news, photos, playlists, and interviews. Social Media: 81K",,,BRAZIL,,,,,,,,,,,
Vagalume,"An online portal for music, entertainment, news and radio. Vagalume is one of the most accessed throughout Brazil. They also launched Vagalume FM, a Brazilian music streaming platform that has been downloaded more than 10M times. Social Media: 14M ",,,BRAZIL,,,,,,,,,,,
"Revista Caras ","Print and online magazine. Social Media: 165K. ",,,CHILE,,,,,,,,,,,
Ossom,"Digital platform focused on music concerts, theatre, and music. Trying to promote culture & arts as a recurrent activity in the life of their readers. Social Media: 20k+",,,CHILE,,,,,,,,,,,
BioBio Chile,One of the largest independent media companies with a focus on national and international news. Social Media: 2.3M,,,CHILE,,,,,,,,,,,
POUSTA,"Top online publication covering music, culture, design, lifestyle, and fashion in Chile. Social Media: 215K ",,,CHILE,,,,,,,,,https://www.instagram.com/pousta/,,
Agenda Musical,"Agenda Musical is an online platform focused on promoting concerts, shows, and events going on in Chile. Social Media: 205K and 250K views a month.",,,CHILE,,,,,,,,,,,
Radio Hoy,"The Radio Station for all kinds of fans (music, films, culture, sports, etc.). Social Media: 45,5k+",,,CHILE,,,,,,,,,,,
"Tu Medio ","Music, entertainment, and news website and radio. Social Media: 35 K",,,CHILE,,,,,,,,,,,
FM Box,"Top 40 music station, primary focus on pop music. Social Media: 70K",,,CHILE,,,,,,,,,,,
Paniko,"Online portal with news on pop music, book, tv and shows. Social Media: 109K.",,,CHILE,,,,,,,,,,,
Revista iPop,"Digital magazine dedicated to music, film, literature, sports, and the environment. Social Media: 12K.",,,CHILE,,,,,,,,,,,
Recital,"Online portal focused on discussing concerts, events, and festivals. Social Media: 149K",,,CHILE,,,,,,,,,,,
Portamento,"Group of young musicians and reporters, passionate about rock, culture, and its ramifications. Portamento runs both as an online radio and online magazine for rock lovers. It's focused both in local and international artists. Social Media: 7k+",,,CHILE,,,,,,,,,,,
"Super 45 ","Online radio focused on news, music, interviews, and independent music. Social Media: 53.8K. Views: Over 90K per month",,,CHILE,,,,,,,,,,,
"Rockomotora ","A music website and online radio. Its focus is in reviews, interviews, news, and new artists. Social Media: 54K",,,CHILE,,,,,,,,,,,
iRock,"Music news portal with interviews, reviews, articles and news. Social Media: 126K","Indie, Rock",,CHILE,,,,,,https://twitter.com/irockwebzine,https://www.facebook.com/iRockWebzine/,,https://www.instagram.com/irock.cl/,,
Melómanos,"Online music magazine focused on independent music. Social Media: 38K ",,,CHILE,,,,,,,,,,,
T13,#1 website focused on news and music. 1.5 M monthly visitors.,,,CHILE,,,,,,,,,,,
Incorrectas,"Online music, film, theatre, general entertainment, and women-driven stories blog. Social Media: 12.4K",,,CHILE,,,,,,,,,,,
"RockNVivo ","A rock music website based focused in music news, reviews, interviews and events. Social media: 150K",,,CHILE,,,,,,,,,,,
Capital,"A Music Magazine capital.cl  The distribution is two times at month. 17K ( 34K) at month. 
",,,CHILE,,,,,,,,,,,
Radio Valentín Letelier,,,,CHILE,,,,,,,,,,,
El Desconcierto,"Digital website. News, columns, reports, research, interviews, chronicles and cultural criticism. Social Media: 942K",,,CHILE,,,,,,,,,,,
POTQ,"A webzine for music lovers with daily updates of news and content such as reviews of albums, articles and interviews, with special emphasis on international indie rock. Social Media: 146K",,,CHILE,,,,,,,,,https://www.instagram.com/potq/,,
Revista Playlist,Online magazine focused on indie and rock music. Social Media: 33K,,,CHILE,,,,,,,,,,,
AE Radio,"A radio station that is primarily pop music, but generally goes for whatever is cool amongst young people. Social Media: 10K",,,CHILE,,,,,,,,,,,
Recital,rdio futuro,,,CHILE,,,,,,,,,,,
Rock and Pop,Top radio station in Chile. National reach: 120K daily listeners. Demographic Target: Men and Women 20-34 years of age. Social Media: 300K,,,CHILE,,,,,,,,,,,
LeRock Magazine,"Radio show with the label at a very important radio station in Chile, Radio Horizonte. It's called POST.  Social Media: 8K.",,,CHILE,https://lerock.cl/magazine,,,,,,,,,,
No Nací En Manchester,"Music blog with a focus in music discovery. Social Media: 24K. Around 60K unique monthly visits ",,,CHILE,,,,,,,,,,,
Radio Carolina,"Primarily top 40 music in both English and Spanish language. Also, has an online blog. Social Media: 1M",,,CHILE,,,,,,,,,,,
La Rata,"Music website primarily focused on popular music, but also includes articles on a wide range of genres. Social Media: 140K",,,CHILE,,,,,,,,,,,
Amo Santiago,"Portal focuse in culture, music, events, and culture. Social Media: 78.8K",,,CHILE,,,,,,,,,,,
El Mostrador,"Chile’s first online newspaper. It has a primary focus on science, culture, and general international news. Social Media: 2,9M",,,CHILE,,,,,,,,,,,
Radio Pop,"Pop Radio station with an online platform focused on sharing news, interviews, and culture. Social Media: 10K",,,CHILE,,,,,,,,,,,
Panoramas Online,"Online portal featuring news, contests, and information on electronic music and events. Social Media: 16K.",,,CHILE,,,,,,,,,,,
Finde La Tercera,"The music and culture section of the popular newspaper in Chile.  Social Media: 1.9M
",,,CHILE,,,,,,,,,,,
"Cooperativa ","Daily newspaper published in Santiago, Chile and the circulation is 120.000. Social Media: 1.9M",,,CHILE,,,,,,,,,,,
Fuego y Cenizas,"Online pop culture and rock music magazine. Social Media: 8K. ",,,CHILE,,,,,,,,,,,
Diario La Hora,Chilean newspaper distrubuted for free. Social Media: 310K,,,CHILE,,,,,,,,,,,
Radio Sonar FM,"Radio Station in Chile focused on rock and indie music. Social Media : 575K ",,,CHILE,,,,,,,,,,,
La Tercera,"Daily newspaper published in Santiago, Chile and the circulation is 120K Social Media: 1.9M",,,CHILE,,,,,,,,,,,
El Mercurio,El Mercurio is a Chilean newspaper with editions in Valparaíso and Santiago. Its Santiago edition is considered the country's paper-of-record and it is considered the oldest daily in the Spanish language currently in circulation. Social Media: 358K.,,,CHILE,,,,,,,,,,,
Ruta Rock,"Popular media outlet focused on music, film, TV, rock, and entertainment. Social Media: 143K","Alternative, Hip-Hop, Indie, Rock",,CHILE,,,,,,,,,,,
Radio Concierto 88.5 FM,Concierto is a Chilean radio station located at 88.5 MHz of the FM dial in Santiago de Chile. Also it transmits for all the country with its network and via internet in the rest of the country and the world. Social Media: 614K,,,CHILE,,,,,,,,,,,
"Loud Magazine ",A music blog with 10K visitors a month. Social media: 24K,,,CHILE,,,,,,,,,,,
"Teletrece ",Most important TV Channel in Chile . Social Media : 2.64 M,,,CHILE,,,,,,,,,,,
"Agenda Pop ","Pop culture website in Chile. Social media: 300K ",,,CHILE,,,,,,,,,,,
"Radio Zero ","Radio station based in Santiago, Chile but is also transmitted throughout the entire country. Social media: 124K ",,,CHILE,,,,,,,,,,,
Disonantes,"Online magazine focused on music, movies and pop culture. Social Media: 116K",,,CHILE,,,,,,,,,,,
M360,"Online site that is editorially focused on content for women and trends and covers different topics such as beauty, fashion, shows, news, movies and, of course, music. M360 was born from Radio Cooperativa, the most important radio historically in Chile, so all the content produced is shared on their networks and website, and also in Cooperativa's social network. Social Media: 97.8K",,,CHILE,,,,,,,,,,,
Humo Negro,"A website specialized in music news and film content. Their mission is to inform readers about concerts, entertainment and news. Views: 100K Per Month Social Media: 169K",,,CHILE,,,,,,,,,,,
Zumbido,"Online portal with news, music and concert coverage. Social Media: 82K",,,CHILE,,,,,,,,,,,
Foto Rock,Music website primarily known for its live photos and show reviews. Social Media: 47K,,,CHILE,,,,,,,,,,,
Alerta Emisor,"A product of the 13radios conglomerate in Chile, music podcast with weekly releases. Social Media: 34.3K.",,,CHILE,,,,,,,,,,,
Subela Radio,"Chilean digital station focused on culture, current affairs, and independent Latin American music. Social Media: 167K",,,CHILE,,,,,,,,,https://www.instagram.com/subelaradio/,,
The Clinic,One of the most influential culturally-based online publications. Social Media: 3.3M.,,,CHILE,,,,,,,,,,,
Culto/La Tercera,"The music and culture focused section of the daily newspaper published in Santiago, Chile. Circulation: 120K Social Media: 563K",,,CHILE,,,,,,,,,,,
El Libero,"A culturally-based publication with a focus on music, gastronomy, and much more. Social Media: 27K.",,,CHILE,,,,,,,,,,,
Cancha general,A website focused on independent music and national and foreign musical events. Social Media: 47.6K,,,CHILE,,,,,,,,,,,
Nacion Rock,Online music publication with a primary focus on rock music. Social Media: 737K,,,CHILE,,,,,,,,,,,
Radio Futuro,The largest rock radio station in Chile. Social Media: 1.3M,,,CHILE,,,,,,,,,,,
RADIO DUNA,News radio station with a focus on culture and entertainment. Social Media: 101K,,,CHILE,,,,,,,,,,,
"Rockaxis ","Chilean outlet (Digital content platform: website, radio, magazine, rehearsal rooms, recording studio and event production. Social media: 831K - YT Subscribers: 30.6K","Alternative, Indie, Rock",,CHILE,,,,,,,,,,,
Reporte Chile,"News publication that deals with national and international news. 
Social media: 62.5k",,,CHILE,,,,,,,,,,,
Revista Capital,17K copies printed and distributed every two weeks. Over 300K monthly visits to the website,,,CHILE,,,,,,,,,,,
"Parlante CL ","Parlante is an online platform focused on promoting concerts, shows, and events going on in Chile. As well as reporting on all things related to the music and entertainment world. Social Media: 235K",,,CHILE,,,,,,,,,https://www.instagram.com/parlantecl/,,
Zancada,Women collective blog with a wide variety of topics which fall under “girl talk”. Social Media: 107K,,,CHILE,,,,,,,,,,,
"Viña FM ","Radio Station in Viña del Mar. Social Media: 27K ",,,CHILE,,,,,,,,,,,
"Playboy ",The Colombian edition of the American men's lifestyle and entertainment magazine. Social Media: 60K,,,COLOMBIA,,,,,,,,,,,
Orbita Rock,"Music Website focus on entertainment, culture, shows, festivals. Social Media: 74.9K",,,COLOMBIA,,,,,,,,,,,
SHOCK,One of the main and biggest music and entertainment sites in Colombia. Online magazine devoted to culture and music. They have a strong following and are very influential in Colombia. Social Media: 991K,"Alternative, Electronic, Hip-Hop, Indie, Pop, Rock",,COLOMBIA,,,,,,,,,,,
Revista Bombea,Entertainment magazine. Followers: 12.4K,,,COLOMBIA,,,,,,,,,,,
"Radioacktiva ",Most influential rock radio station in Colombia. Approximately 620K monthly listeners. It is broadcast in the main cities of the country such as Bogotá and Medellín. And Cali is the 1st on its website. Social Media: 2.9M,"Indie, Rock",,COLOMBIA,,,,,,,,,,,
Revista Arcadia,"Part of Semana news group, cultural magazine focused on editorial news, art exhibits, music, movies, architecture and theatre. Social Media: 445K","Entertainment, Indie, Latin, Lifestyle",,COLOMBIA,,,,,,,,,,,
Caracol,One of the country’s largest multimedia groups. Social Media: 4M.,,,COLOMBIA,,,,,,,,,,,
La X - Medellin,"Colombia’s main electronic music radio station, based in Medellin. Social Media: 202K","Alternative, Electronic, Indie",,COLOMBIA,,,,,,,,,,,
120db,Music community which focuses on promoting and supporting emerging national acts as well as local events. Social Media: 10K,,"9,852",COLOMBIA,https://www.120dbbogota.com,,,,,,,,,,
Publimetro,Free newspaper distributed nationally. Social Media: 734K.,,,COLOMBIA,,,,,,,,,,,
"Flash Fasion ",Entertainment program within NTN24 Channel led by Santiago Giraldo. Social Media: 32K,,,COLOMBIA,,,,,,,,,,,
Bogota A La Carta,"Online publication informing people of all of the news regarding cultural happenings, concerts, and other events. Social Media: 7K. 
",,,COLOMBIA,,,,,,,,,,,
Canal Trece,"Regional public TV channel focused on music, movies, news and events for the younger audience. Social Media: 492.3K",,,COLOMBIA,,,,,,,,,,,
Civico,An events and news app. Social Media: 200K.,,,COLOMBIA,,,,,,,,,,,
La Mega,"One of the largest radio stations in Colombia, with a focus on pop music. Social Media: 3.9M",,,COLOMBIA,,,,,,,,,,,
Autopista Rock,"Music website focuses on events, shows, interviews and news. Social Media: 10.5K",,,COLOMBIA,,,,,,,,,,,
"Los 40 ",Top 40 radio station in the country with immense impact on younger audiences. They are including new electronic music in their programming. Social Media: 1.5M,,,COLOMBIA,,,,,,,,,,,
hile,"A website and whose focus is music, news, interviews, and culture. Social Media: 24.4K",,,COLOMBIA,,,,,,,,,,,
Rockombia,A big online publication with a primary focus on rock music. Social Media: 150K.,,,COLOMBIA,,,,,,,,,,,
T310 and Absent Papa,"A promoter who has a website , Social Media: over 20. K",,,COLOMBIA,,,,,,,,,,,
"La X mas Musica ","One of the most influential radio stations in the country, national broadcast, focused on  English speaking rock, indie and R&B music. Social Media: 1M",,,COLOMBIA,,,,,,,,,,,
"NTN24 ","News channel that forms part of RCN Network. The second biggest entertainment network in the country. Social media: 4.3M ",,,COLOMBIA,,,,,,,,,,,
"THUMP - VICE ","Internationally known music website that focuses on electronic and indie music. Social Media: 30K ",,,COLOMBIA,,,,,,,,,,,
Resonantes,"Part of Canal Trece, Resonantes is a TV music show sharing music videos, news and interviews featuring traditional, emerging and iconic artists, both national and international. Social Media: 332K",,,COLOMBIA,,,,,,,,,,,
Revista Diners,"Lifestyle, culture and happenings magazine. Social Media: 124K.",,,COLOMBIA,,,,,,,,,,,
Rolling Stone,National edition of the renowned American music Magazine. Printed edition 70K Social Media: 208K,,,COLOMBIA,,,,,,,,,,,
Electro News Colombia,"Online platform focused on electronic news, events and culture in Colombia. Social Media: 29.4K",,,COLOMBIA,,,,,,,,,,,
El Nuevo Siglo,A daily newspaper in Bogota ( Capital). Social Media: 120.K,,,COLOMBIA,,,,,,,,,,,
"Blu Radio ","Blu Radio has over 1M listeners around the country. It's broadcasted in: 25 cities in Colombia, including Bogotá in the FM Stations, and all biggest cities in LATAM from Direct TV in their channel: Caracol TV International and more than 30 cable operators in the region. Social Media: 4.9M.",,,COLOMBIA,,,,,,,,,,,
"Vice Magazine ","A magazine that focused on Electronic and Indie Music. The distribution is 80K/month ",,,COLOMBIA,,,,,,,,,,,
Evolucion Rock,"Publication that deals with all things rock and related to geek culture.
 Social Media: 17k.",,,COLOMBIA,,,,,,,,,,,
Estereofonica,"Colombian media outlets dedicated to music, television and cinema. Social Media: 26K  ",,,COLOMBIA,,,,,,,,,,,
"La Fm Radio ","Part of RCN, online portal with news on politics, sports, technology and entertainment. Their radio station focuses on interviews, news, and pop music. Social Media: 3.3M",,,COLOMBIA,,,,,,,,,,,
Don G,Journalist from Radionica Radio Colombia. Followers: 6.6K,"Electronic, Indie",,COLOMBIA,,,,,,,,,,,
Revista Bocas,"Part of the El Tiempo publications: the only interview magazine in Colombia, featuring artists, polititians, actors, etc. Social Media: 2.5K",,,COLOMBIA,,,,,,,,,,,
Radionica,"National radio station focused on indie and electronic music. Radionica reaches 8 cities in Colombia (Bogotá, Medellín, Cali, Barranquilla, Santa Marta, Riohacha, Pereira, Málaga) through FM signal, with an audience of 185K listeners (according to the most recent measurement of the ECAR -Continuous Radio Audience Study-). Social Media: Over 1.1M","Electronic, Hip-Hop, Indie, Rock",,COLOMBIA,,,,,,,,,,,
"Bunka Radio ",Online Radio Station based in Colombia. Social Media: 6.3K,,,COLOMBIA,,,,,,,,,,,
"Colpresa "," The number one press agency in the country. They
distribute information to all kinds of media outlets nationwide and
have full credibility of the media and the people alike. Social Media : 10 K",,,COLOMBIA,,,,,,,,,,,
DON JUAN,"A Fashion and Lifestyle Magazine for the modern man in Colombia, Social Media: 615K",,,COLOMBIA,,,,,,,,,,,
El Heraldo,"Barranquilla’s number one newspaper and one of the prime journalism resources for the whole country. Very important for alternative content, a place with many pop and rock fans, but not many publications. Each year there is more and more attendance from the north coast of the country. Social Media: Over 1M. ",,,COLOMBIA,,,,,,,,,,,
MedellinStyle,"News, interviews and tech in the electronic scene. Social Media: 372K.",,,COLOMBIA,,,,,,,,,,,
La 92,"Radio station focused on pop and reggaeton, with an immense impact on younger audiences. Social Media: 83.5K",,,COLOMBIA,,,,,,,,,,,
Revista DC,"An entertainment magazine with pieces on film, music, sport, food, and culture . Social Media: 42. k",,,COLOMBIA,,,,,,,,,,,
Revista Rock n' Roll - Medellin,"Free distribution magazine focused on everything rock and roll, both national and international news. Social Media: 3.5K",,,COLOMBIA,,,,,,,,,,,
The Music Pimp,Alejandro Marin is one of the most influential and well known music journalists in Colombia. He is the director for La X anglo radio station. Social Media: 212.3K - YT: 11.8K subscribers,,,COLOMBIA,,,,,,,,,,,
El Tiempo," Top newspaper in the country.Their culture and music section is one of the most read in the country vía print and web. They print 500K physical newspapers nationwide. Social Media: Over 5M",,,COLOMBIA,,,,,,,,,,,
"Revista Semana ","Very much respected and well known weekly magazine with all types of news: politics, economics, entertainment, culture, etc. Social Media: 4.5M",,,COLOMBIA,,,,,,,,,,,
CITY TV,"Citytv Bogotá : is a local television station in Colombia's capital city. It is owned by the Casa Editorial El Tiempo (CEET), which publishes the main national Colombian daily newspaper El Tiempo, as well as other magazines such as Portafolio, Cambio, Motor, and Carrusel.
Social media: more 3M ",,,COLOMBIA,,,,,,,,,,,
Rock Cayeye,"Live radio for music, specifically for rock music. Followers: 595
",,,COLOMBIA,,,,,,,,,,,
PULZO,Carefully curated information and entertainment news platform for Colombia. Social media: 1.6M,,,COLOMBIA,,,,,,,,,,,
"ADN ","The most widely distributed free newspaper in Colombia with more than 170,000 copies per day in the five main cities of Colombia. Part of the Editorial Group El Tiempo, the most important in the country. Its audience is mainly young between the ages of 18 and 35 years.",,,COLOMBIA,,,,,,,,,,,
"Parlante Amarillo ","Website that focuses on independent music, videos, and cultural happenings. Social Media: 58K",,,COLOMBIA,,,,,,,,,,,
Kien y Ke,Entertainment news platform with all type of news from Colombia and the world. Social Media: 584.4K.,,,COLOMBIA,,,,,,,,,,,
"El Espectador ",The country's #2 daily newspaper publications with strong pieces on culture and music. It is distributed nationwide and is appreciated by many for its critical approach to news. Social Media: 7.96M,,,COLOMBIA,,,,,,,,,,,
El Colombiano,"A century’s old newspaper in Colombia that’s purpose is to present the country with local and international news. While they focus on a variety of news topics, they have a strong cultural section. Social Media: 3M.",,,COLOMBIA,,,,,,,,,,,
Revista Sono,Culture and music website. Followers: 14.4K,,,COLOMBIA,,,,,,,,,,,
RCN DIgital,"Audio podcast focused on music, technology and trending themes. Social Media: 12.3K",,,COLOMBIA,,,,,,,,,,,
"La W Radio ","W Radio Colombia is a news/talk/adult contemporary Colombian radio network, part of Caracol Radio. It is part of the W Radio system, with networks in Mexico, Los Angeles, Panama, and transmitted as far away as Chile. Social Media: 3M
",,,COLOMBIA,,,,,,,,,,,
Telemedellin,"Medellin’s main television network with a focus on art, cultural happenings, news, sports, and much more. Social Media: 1.2M
",,,COLOMBIA,,,,,,,,,,,
"Metro ","A division of the international Metro franchise that has a presence in over 28 countries. They report on national and international news, sports, and entertainment. Social Media 32.1K",,,ECUADOR,,,,,,,,,,,
El Ecuatoriano,National online newspaper. Social Media:15K,,,ECUADOR,,,,,,,,,,,
"Diaro Que ",Daily Editorial Newspaper in Ecuador. Social Media: 1276,,,ECUADOR,,,,,,,,,,,
Radio Cocoa,"Indie and alternative music radio station in Quito. Social Media: 40K. 
",,,ECUADOR,,,,,,,,,,,
Radio City,Radio station working in association with El Universo newspaper with talk shows and news. Broadcasts in Guayaquil and La Península. Social Media: 50.1K,,,ECUADOR,http://www.radiocity.com.ec/,,,,,,,,,,
Diario Expreso,Ecuadorian Newspaper reporting national and international news. Social Media:102K,,,ECUADOR,,,,,,,,,,,
La Descarga,"A digital publication representing culture, music, and art in Ecuador. Social Media 6K",,,ECUADOR,,,,,,,,,,,
La Republica,General national newspaper with a thorough culture section. Social Media: 145K,,,ECUADOR,,,,,,,,,,,
El Universo,Major print and online newspaper in the country. Social Media: 4.2M.,,,ECUADOR,,,,,,,,,,,
Warp,"Online music portal that focuses on culture, cinema, and TV. Social Media: 442K",,,MÉXICO,https://warp.la,,,,,https://twitter.com/WARPmagazine,https://www.facebook.com/WARPmagazine?_rdr,,https://www.instagram.com/warpmagazine/,https://www.youtube.com/user/WarpMagazine,
"Headz ","Medio en Mexico dedicado al genero urbano. Social Media: 154K ",,,MÉXICO,https://headz.mx,,,,,https://twitter.com/Headz_MX/,https://www.facebook.com/headzmx/,,https://www.instagram.com/headzmx/,https://www.youtube.com/channel/UCDcDvns3N7K_bcdW2vyy8Yg,
Ruido Blanco FM,"Latin Rock and alternative focused online radio station, aired through iHeartRadio. Social Media: 104.6K",,,MÉXICO,https://www.ruidoblanco.fm,,,,https://open.spotify.com/user/ruidoblancofm?si=JMSiSJV1TIm9XZxoKebABg,https://twitter.com/ruidoblancofm,https://www.facebook.com/ruidoblancofm,,http://www.instagram.com/ruidoblancofm,http://www.youtube.com/ruidoblancofm,
La Jornada,"A major mexican newspaper with approximately 287,000 readers in Mexico City and 180,000 views daily on their website. Social Media: 5.4M",,,MÉXICO,https://www.jornada.com.mx/category/cultura.html,,,,,https://twitter.com/lajornadaonline,https://www.facebook.com/lajornadaonline/,,https://www.instagram.com/lajornadaonline/,https://www.youtube.com/channel/UCWXOegeUI7sWXji5oD4iRVA,
Vibras,Entertainment Magazine focused on music and concerts. Social Media: 40K.,,,MÉXICO,https://www.vibras.com.mx/magazine,,,,,,http://www.facebook.com/vibrasmx,,https://www.instagram.com/vibrasmx/,,
Frente MX,"Printed newspaper with online counterpart. Distributions:50K.  Social Media: 76K ",,,CANCELLED,,,,,,,,,,,
"20 Minutos ",The Mexican edition of the Spanish Newspaper 20 Minutos. Provides general news and includes an entertainment section. Social Media: 52k,,"52,000",MÉXICO,https://www.20minutos.com.mx,,,,,https://twitter.com/20mMexico,https://www.facebook.com/pg/20minutos.com.mx/,,,,
El Fanzine,"Magazine focused on music, art, literature, and culture. Distribution: 20K distribution. Social media: 209K",,,MÉXICO,,,,,,https://twitter.com/LFanzine,https://www.facebook.com/elfanzine/?__xts__%5B0%5D=68.ARAUdw9i98-KN5dmQMIpV899KPn2mBA6P5kDhIk-mk7wvjwqyvTfKg5Ic5sNquzLg7o3wrRKXphcNm7eEMxqf0ayvmUks30nCTn2LyP3J34H-KdQ1jn6ly2ZzaTj2_jpf9azlBCNUkb1txnXJZSXKrZUqk3LjOg851eoKaidmOJQcUHiNxta57euPsCnjxT6NwuaU1rwaQ0M6OWe8tfaAEnX7lo,,https://www.instagram.com/elfanzine/,,
El Sol De Tijuana,"Newspaper in Tijuana that focuses on politics, finance, world news, and culture. Social Media: 18K",,,MÉXICO,https://www.elsoldetijuana.com.mx,,,,,https://twitter.com/ElSoldeTijuana1,https://www.facebook.com/ElSoldeTijuana.OEM/,,https://www.instagram.com/elsoldetijuana/?hl=es-la,https://www.youtube.com/channel/UC9yDo_xB_A2uBNrZslrCBmg,
Rockets,"An online music and technology blog. Social Media: 150K. 
",,,MÉXICO,https://www.rocketsmusik.com,https://soundcloud.com/rocketsmusik,,,https://www.rocketsmusik.com/myplaylist/,https://twitter.com/ROCKETSMUSIK,https://www.facebook.com/rocketsmusik,,https://www.instagram.com/rocketsmusik/,,
Horizontal,"Cultural site, focused in news. Social Media: 57K",,,MÉXICO,https://horizontal.mx,,,,,https://twitter.com/horizontalmx,https://www.facebook.com/horizontalmx/,,https://www.instagram.com/horizontalmx/,,
Chilango,"Mexican city guide magazine and website. It's one of the most consulted guides for entertainment in the city. It publishes 55,000 copies monthly, with 11.3 M readers on their online version. Social Media: 2M.",,,MÉXICO,https://www.chilango.com,,,,,https://twitter.com/ChilangoCom,https://www.facebook.com/ChilangoOficial/,,https://www.instagram.com/ChilangoCom/,https://www.youtube.com/user/Chilangoenvideo,
El Mexicano,"One of the main daily papers in Tijuana, Mexico. The newspaper covers news and stories within Mexico as well as California. Social Media: 13.6K.",,,MÉXICO,https://www.el-mexicano.com,,,,,https://twitter.com/ElMexicanOnline,https://www.facebook.com/ElMexicanoOnline,,https://www.instagram.com/elmexicanonline/?igshid=kpnu65vzz16p,https://www.youtube.com/channel/UCDJFSVRK05yqPl52Bk00sTQ,
Track Record,"A News portal of Televisa Tv.  ",,,PENDING,,,,,,,,,,,
Instituto Mexicano de la Radio IMER,"""The Largest Public Radio Group in the Country""
integrated by 24 stations located in nine states of the Mexican Republic, including the seven stations that cover Mexico City. Social Media: ",,,MÉXICO,https://www.imer.mx,,,,,http://twitter.com/imerhoy,http://facebook.com/institutomexicanodelaradio,,https://www.instagram.com/grupo_imer/,,
Hype and Tracks (Formerly Indie Space),"Website focused on indie music news, playlists, and reviews. Social Media: 40K",,,MÉXICO,hypeandtracks.com,,,,,https://twitter.com/HypeAndTracks,https://www.facebook.com/hypeandtracks/?__xts__%5B0%5D=68.ARB563Xr5HC4qLuoPjg4fqtzhKy2c0beBPuAQ9OIz_fZcdqu6acMkYtwmgWkUrhPNpJGHkyKSklBQA8B1uxzcfCh78-uYCl2CPdbgO89hgsCJ_QbrnYTuewlupgZ1fyjHUxn35ln5-AkGl6e87k3QNrBQ5lw16j3dtpCWkIw6ByvED3fLr6Stv6Wzh3yItgY3ktOeNjePfnODLrwVEEs0hvrO1DTRi5T-QyMsMIwwr1FoFVRyApjSM2ViOPJm1cbOc-3IFravmoNOX3kOT2Q0tmPBKL7735425PF2oK_wfFQPb5LDIhk8M58v7qg49jCMDuA8lCY2kIFjRGGHZDRRDNEgdohb73Ed0V2C6PfRL_449uYncHHCKwTWGPWGVC1Kj2cgJcPR3V9KmDqaiBRd7u6ksYQHRX_sHc3pCSGzwKEW4LElcyHRo50TIOTlX27CgHRPzzcxFU6g9RDH1oCSJDz31Dp3QsOwNQ_KH8866iQPvMlD_jPoIMnw2E,,https://www.instagram.com/hypeandtracks/,,
Vocero,"An independent publication, aimed at the University community in the country. It's distributed for free at the Universities in Mexico CIty and Monterrey.",,,CANCELLED,,,,,,,,,,,
