NAME OF MEDIA,DESCRIPTION & SM,Genre,REACH,Territory,WEBSITE,⛅️,🍎,🎙,🎶,🐥,👍,💃,📸,📹,🤓
Radio Britannia,Radio focused on the deliverance of British Rock. Social Media: 15 K,,,ARGENTINA,https://www.radiobritannia.com,,,,,https://twitter.com/RadioBritannia,https://www.facebook.com/radiobritannia,,https://www.instagram.com/radio.britannia/,,
NET (Nunca Es Tarde),"Late Night TV show on the Fox Sports network. It is most important late night show on cable TV.  NET is filmed out of Argentina, but is broadcast throughout all of Latin America.  Engagement: 1.7M, Twitter:  6.3M, FB:  1.5M",,,"ARGENTINA, CANCELLED",,,,,,,,,,,
La Voz,"A daily newspaper in Cordoba, the second largest city in Argentina. Circulation: 100 K daily. Social Media: 1.7M",,,ARGENTINA,https://www.lavoz.com.ar,,,,,https://twitter.com/lavozcomar,https://www.facebook.com/LaVoz.com.ar,,https://www.instagram.com/lavozcomar/,http://www.youtube.com/user/LVIcomar,
Jam Skate Radio,First online skater radio focused on rock and street-underground culture. Social Media: 57K.,"Alternative, Rock",,ARGENTINA,https://www.jamsk8radio.com,,,,,https://twitter.com/jamsk8radio,http://www.facebook.com/jamsk8radio,,https://instagram.com/jamsk8radio,https://www.youtube.com/jamsk8radio,
TN.com.ar,"Todo Noticias is the number one Argentine news cable channel. It is owned by the Grupo Clarín and its subsidiary, Artear. TN also has a news website, ranked as the 20th most visited in Argentina. Viewers: 8M. Social Media: 12M.",,,ARGENTINA,https://tn.com.ar,,,,,https://twitter.com/todonoticias/,https://www.facebook.com/todonoticias/,,https://www.instagram.com/todonoticias/,https://www.youtube.com/c/todonoticias/,
REGINA MAG,"Fashion and Culture publication printed seasonally and also online platform that covers everything including pop culture. It's one of the most influential independent magazines in the country.
Social Media: 13k ",,,"ARGENTINA, PENDING",,,,,,,,,,,
Suena SPE,Online magazine focused on national and international art and music news and interviews. Social Media: 11.2K,"Alternative, Electronic, Hip-Hop, Indie, Rock",,ARGENTINA,https://suenaspe.com,,,,,http://twitter.com/suenaspe,http://facebook.com/suenaspe,,http://instagram.com/suenaspe,https://www.youtube.com/channel/UCdcOFjZrAXiQN9Gr96ktE4Q,
Niceto Club,"Venue in Argentina that also has a digital website and presence on social media where they interview artists and discuss new releases. Social Media: 200K ",,,ARGENTINA,http://nicetoclub.com,,,,,http://twitter.com/NicetoClub,http://www.facebook.com/Nicetoclub,,https://www.instagram.com/nicetoclub/,http://www.youtube.com/nicetoclubtv,
InRocks,"Website that's focused on music news, interviews, shows, film, and Theatre. Social Media: 1M",,,"ARGENTINA, CANCELLED",,,,,,,,,,,
Revista FDH,"Pop culture, music, and entertainment magazine. Social Media: 66K.","Entertainment, Pop",,ARGENTINA,https://www.fueradehora.com.ar,,,,,https://twitter.com/fueradehora,https://www.facebook.com/RevistaFDH,,https://www.instagram.com/fdhrevista,,
Telefe,"Telefe is a television station located in Buenos Aires, Argentina. The station is owned and operated by Viacom through Televisión Federal S.A. Telefe is also a television network and one of Argentina's five national television channels. Social Media: 7M. ",,,ARGENTINA,https://telefe.com,,,,,https://www.twitter.com/telefe/,https://www.facebook.com/telefe/,,https://www.instagram.com/telefe/,https://www.youtube.com/telefe/,
"Perfil Newspaper ","Newspaper in Buenos Aires dedicated to the politics, economics, social matters, sports, science, and more. Social Media: 1.3M. ",,,ARGENTINA,https://www.perfil.com,,,,,https://twitter.com/perfilcom,https://www.facebook.com/perfilcom/,,https://www.instagram.com/perfilcom/,https://www.youtube.com/channel/perfilcom,
Futurock FM,"Digital Radio & Podcast that focuses on rock, information, humor, and music. Social Media: 578K. ",Rock,,ARGENTINA,https://futurock.fm,,,,,https://twitter.com/futurockok,https://facebook.com/futurockok,,https://instagram.com/futurockok,https://futurock.live/,
Data Boy,Online platform with news on electronic music events. Social Media: 48K.,Electronic,,"ARGENTINA, CANCELLED",databoy.com.ar,,,,,https://twitter.com/databoyapp,,,https://www.instagram.com/databoyapp/,,
Estacion K2,Radio station focused on rock music. Social Media: 27.4K,Rock,,ARGENTINA,https://estacionk2.com,,,,,https://twitter.com/estacionk2/,https://www.facebook.com/estacionk2/,,https://www.instagram.com/estacionk2/,,
RADIO ONE,"A radio station focused on a contemporary audience with classics from the '90s and English-language music. Social Media: 300K ",,,ARGENTINA,https://www.radioone1037.fm,,,,,https://twitter.com/RadioOne1037,https://www.facebook.com/radioone1037/,,https://www.instagram.com/radioone1037/,,
"La Nacion ",One of the top daily print newspapers in the country. Circulation: 170 K Month. Social Media: 3.5M,News,,ARGENTINA,https://www.lanacion.com.ar,,,,,https://twitter.com/LANACION,https://www.facebook.com/lanacion,,https://www.instagram.com/lanacioncom/,,
Paul Es Todo,Rock music and entertainment blog. Followers: 2K,,,"ARGENTINA, PENDING",,,,,,,,,,,
Agencia Rock,Rock music website with a primary focus on live content and interviews. Social Media: 3K.,Rock,,"ARGENTINA, CANCELLED",http://ww1.agenciarock.com,,,,,,https://www.facebook.com/agenciarockok/,,,,
Diario Hoy ( La plata),Free daily newspaper.  Distibution 100K every day. Social Media: 65K,,,ARGENTINA,https://diariohoy.net/#,,,,,https://twitter.com/diariohoynet,https://facebook.com/diariohoylp,,https://instagram.com/diariohoylaplata/,https://youtube.com/channel/UCKHAOgONtSewDKc2Tqg1XFg,
Rocktambulos,"Rock music publication that deals with news, new artists, and much more. Social Media: 30.1K.",,,ARGENTINA,https://rocktambulos.com,,,,,https://twitter.com/Rocktambulos,https://www.facebook.com/RocktambulosLA,,https://www.instagram.com/rocktambulos/,https://www.youtube.com/user/rocktambulos,https://www.linkedin.com/company/rocktambulos
Rocktails TV,"A website focused on interviews, albums, and general articles about music. Social Media: 48K",,,ARGENTINA,https://www.rocktails.tv,,,,https://open.spotify.com/user/6ndaybgso21t2l4wbj51v3nom?si=b17c61db229045b7,https://twitter.com/rocktails,https://www.facebook.com/Rocktailsfb/,,https://www.instagram.com/rocktails.tv,https://www.youtube.com/user/Rocktails,
PUNTAL,a digital and printed newspaper,,,"ARGENTINA, PENDING",,,,,,,,,,,
